library: "NPM Node", licence: "https://www.npmjs.com/policies/npm-license"
library: "@material-ui/core", version: "^3.6.2", license: "https://opensource.org/licenses/mit-license.php"
library: "@material-ui/icons", version: "^3.0.1", license: "https://opensource.org/licenses/mit-license.php"
library: "@material/fab", version: "^0.42.0", license: "https://opensource.org/licenses/mit-license.php"
library: "@material/react-fab", version: "^0.7.1", license: "https://opensource.org/licenses/mit-license.php"
library: "axios", version: "^0.18.0", license:  "https://opensource.org/licenses/mit-license.php"
library: "crypto-js", version: "^3.1.9-1", license:  "https://opensource.org/licenses/mit-license.php"
library: "d3", version: "^3.5.17", license:  "https://github.com/d3/d3/blob/master/LICENSE"
library: "http-proxy", version: "^1.17.0", license:  "https://opensource.org/licenses/mit-license.php"
library: "javascript-time-ago", version: "^2.0.1", license:  "https://opensource.org/licenses/mit-license.php"
library: "memoize-one", version: "^5.0.2", license:  "https://opensource.org/licenses/mit-license.php"
library: "npm", version: "^6.9.0", license:  "https://github.com/npm/cli/blob/latest/LICENSE"
library: "numeral", version: "^2.0.6", license:  "https://opensource.org/licenses/mit-license.php"
library: "react", version: "^16.7.0", license:  "https://opensource.org/licenses/mit-license.php"
library: "react-dom", version: "^16.6.3", license:  "https://opensource.org/licenses/mit-license.php"
library: "react-interval", version: "^2.0.2", license:  "https://opensource.org/licenses/mit-license.php"
library: "react-scripts", version: "2.1.1", license:  "https://opensource.org/licenses/mit-license.php"
library: "react-syntax-highlighter", version: "^10.1.2", license:  "https://opensource.org/licenses/mit-license.php"
library: "typeface-roboto", version: "0.0.54", license:  "https://opensource.org/licenses/mit-license.php"
library: "webcola", version: "^3.3.8": "https://opensource.org/licenses/mit-license.php"